golfer,mean,lower_bound_90percent,upper_bound_90percent
GOLFER_TimThelen,-0.004483862,-0.008547437,-0.001212765
GOLFER_BobTway,-0.004481177,-0.014090419,-0.003821088
GOLFER_KentJones,-0.004396842,-0.00755356,-0.000752767
GOLFER_DeanePappas,-0.004365629,-0.014129231,-0.003093366
GOLFER_RolandThatcher,-0.004239939,-0.006635636,-0.00264691
GOLFER_KevinSutherland,-0.004222632,-0.005082888,0.004763695
GOLFER_PeterJacobsen,-0.004199532,-0.003826254,-0.003826254
GOLFER_FredrikJacobson,-0.004161048,-0.003792424,-0.001845809
GOLFER_RyanPalmer,-0.004159044,-0.009095379,-0.002650595
GOLFER_CraigBarlow,-0.004154572,-0.025449439,-0.001969586
GOLFER_JimBenepe,-0.004139892,-0.005705415,-0.003350971
GOLFER_ToddFischer,-0.004133547,-0.014566284,-0.002516255
GOLFER_DavidToms,-0.00409822,-0.013054041,-0.002393632
GOLFER_ToddHamilton,-0.003971995,-0.00717295,-0.002551592
GOLFER_JonathanByrd,-0.003960394,-0.012114706,-0.001481773
GOLFER_JoelEdwards,-0.003938278,-0.005595553,-0.002033998
GOLFER_JoseCoceres,-0.00389387,-0.003349325,-0.003349325
GOLFER_AdamMeyer,-0.003810739,-0.003854382,-0.003854382
GOLFER_J.P.Hayes,-0.003771871,-0.005911899,-0.000347471
GOLFER_SteveFlesch,-0.003767986,-0.025567472,-0.001721083
GOLFER_JayWilliamson,-0.003761349,-0.003233535,-0.003233535
GOLFER_OlinBrowne,-0.00365649,-0.009852809,-0.001902672
GOLFER_MattGogel,-0.003636943,-0.012641206,0.000191766
GOLFER_MattHendrix,-0.003588197,-0.004250967,-0.004250967
GOLFER_BrinyBaird,-0.003580634,-0.020872724,-0.001070673
GOLFER_MattKuchar,-0.003523628,-0.002975609,-0.002975609
GOLFER_JimFuryk,-0.003487568,-0.014923261,0.000204148
GOLFER_BernhardLanger,-0.003459286,-0.00405279,-0.001511867
GOLFER_TommyArmourIII,-0.003360647,-0.010646526,-0.002963199
GOLFER_DeanWilson,-0.003221152,-0.004198848,0.003505318
GOLFER_JCAnderson,-0.003153301,-0.01397545,-0.002359726
GOLFER_GregKraft,-0.003100384,-0.003100384,-0.003100384
GOLFER_RobertGarrigus,-0.003080436,-0.004006352,-0.000904252
GOLFER_BrettQuigley,-0.003060366,-0.020181043,0.002314483
GOLFER_MichaelBradley,-0.003022305,-0.003275143,-0.003275143
GOLFER_MarkCalcavecchia,-0.003015144,-0.0168968,-0.001552037
GOLFER_JohnCook,-0.002990335,-0.002917072,-0.002917072
GOLFER_AndrewMcLardy,-0.002950993,-0.002591315,-0.002591315
GOLFER_NathanFritz,-0.002867919,-0.010881474,-0.001806515
GOLFER_BryantMacKellar,-0.002848318,-0.007395334,0.001468673
GOLFER_KennyKnox,-0.002831475,-0.003323216,0.001925801
GOLFER_MathiasGronberg,-0.002815109,-0.010329375,-0.00021024
GOLFER_AndreStolz,-0.002784468,-0.005335487,-0.001582262
GOLFER_BradElder,-0.002776703,-0.006420151,-0.000791833
GOLFER_BobEstes,-0.002767171,-0.002139351,-0.002139351
GOLFER_ScottDunlap,-0.002765767,-0.010186263,-0.002261538
GOLFER_StephenAllan,-0.002740963,-0.012734743,0.003024348
GOLFER_MarkWiebe,-0.00262982,-0.006253679,0.00929654
GOLFER_GregMeyer,-0.002610557,-0.005171581,-0.00220429
