node,mean_state,lower_bound90,upper_bound90
A,0.0,0,0
B,1.5250041778234193,1.3860876481484783,1.5766078183510328
C,3.0785126379452006,2.73118917239425,3.1871733099263824
D,4.690347611204181,4.251446791059706,4.77402229139179
E,6.4253320428971765,5.912027306299112,6.5026312239691855
F,8.204537971530232,7.960206563196028,8.265147786758597
G,10.0,10,10
H,6.6273386472186155,6.581973585918645,6.653857067192978
I,3.287051372265532,3.2862874921008096,3.313117893397358
J,0.0,0,0
